,rider_provider,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label
1,807882_2020,,,0.9859763657838604,,0.2080135141494587,,5.486089508015776,,,,0.0,0.0,0.0,0.0,,6.873726931618041,0.0,,0.0,,0.0,0.0,0.0,,0.0,1.0,,,1.0
1,1721947_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1102993_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1102993_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1056696_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1056696_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1540184_2021,,,2.37293992763112,-0.3146536488187465,0.3406699667585836,,-4.291116675787966,32656000.0,,,-0.0,-0.0,-0.0,-0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,,,
1,1540184_2020,,,1.6637523870048219,-0.24080745315615001,0.36883834769122587,,-3.6263587466703386,30259000.0,,,-0.0,-0.0,-0.0,-0.0,,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,,,
1,789019_2021,115856000000.0,0.689258007710247,2.0799936835218875,8.148822981779492,0.624397836436882,,43.152238217314135,,,,0.0,0.0,0.0,0.0,,1.1730548322867207,0.0,1.0,1.0,,1.0,0.0,0.0,1.0,0.0,1.0,,,1.0
1,789019_2020,96937000000.0,0.6778100199279796,2.5157654542940118,5.8487650244353455,0.6112219367054368,,37.4298417635921,,,,0.0,0.0,0.0,0.0,,0.9610009114978949,0.0,1.0,1.0,,1.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1050446_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1050446_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
