cik_date,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label,aggregate,predicted_aggregate
807882_2021,4162982395.0178943,0.7313169059725364,0.5134471504196727,0.277871306770607,0.1865017920984441,inf,9.394347805387858,329243984.2387387,7935446017.817999,4.57341263382835,0.8465643242279756,84.65643242279755,84.65643242279755,169.3128648455951,39393258646.38836,3.060638513950182,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.38461538461538464,0.34422153
1721947_2021,350370000.0,0.956281319257181,1.017701709443471,-0.6295861848046839,0.313629552278342,-60.37298930215856,-8.23014051299228,14155000.0,7935446017.817999,4.57341263382835,-0.0,-0.0,-0.0,-0.0,4539384692.639999,-4.6940317143213885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.23076923076923078,0.23686719
1102993_2020,364707000.0,0.9947820631716764,3.5905414023428324,-1.5927007605052133,0.3280795756301992,-39.07199741667751,-16.92602474231994,329243984.2387387,7935446017.817999,4.57341263382835,-0.0,-0.0,-0.0,-0.0,4203912490.05,-56.24359644537376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.23076923076923078,0.2304903
1102993_2021,462342000.0,0.9844939781612524,2.847802637998093,-1.7301198296327438,0.256285931900875,-20.64596878678765,-14.33536593759033,329243984.2387387,7935446017.817999,4.57341263382835,0.1615331709946651,16.153317099466513,16.153317099466513,32.306634198933025,2580209303.16,-65.32880292733925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.23076923076923078,0.23152661
1056696_2018,318276000.0,0.56920685961188,1.4826935785879505,1.6140814631493516,0.8892316921626602,26.250224023593464,64.08584773413158,329243984.2387387,7935446017.817999,4.57341263382835,0.0,0.0,0.0,0.0,2748135953.03,0.4346129416599897,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5384615384615384,0.53864694
1056696_2019,332982000.0,0.5388502934708204,1.2777869556598165,1.3514981628657876,1.1386043012101073,59.00858927613629,53.772650322904255,329243984.2387387,7935446017.817999,4.57341263382835,-0.1808004584965135,-18.080045849651352,-18.080045849651352,-36.160091699302704,5060694633.5,0.3560347225393451,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5384615384615384,0.538196
1056696_2020,316485000.0,0.5397341619313337,1.6957601047790198,1.3732703350027184,0.8328372596438416,76.59089206189822,36.8842062539108,329243984.2387387,7935446017.817999,4.57341263382835,0.0172337398847974,1.7233739884797463,1.7233739884797463,3.4467479769594926,6681789423.4800005,0.3061407110296982,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6153846153846154,0.6154286
1056696_2021,365816000.0,0.5512240768003279,1.6399603279768071,1.7492341875148267,0.9229212758624524,88.89032761296981,40.93966446907624,329243984.2387387,7935446017.817999,4.57341263382835,0.2662998624484181,26.629986244841813,26.629986244841813,53.259972489683626,9819892272.06,0.4093268664292833,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7692307692307693,0.6230241
1389002_2018,4162982395.0178943,0.7313169059725364,2.1792063611131947,-6.945772987537891,0.0451720679326095,-0.764493744544661,-13.975521489854836,-15097000.0,7935446017.817999,4.57341263382835,-0.0,-0.0,-0.0,-0.0,31530780.0,-1.2083964559559142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.077729225
1389002_2019,4162982395.0178943,0.7313169059725364,1.69713298791019,0.0,0.0483688260827432,inf,0.0,2999000.0,7935446017.817999,4.57341263382835,-1.0,-100.0,-100.0,-200.0,9397800.0,-1.2083964559559142,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.22997662
1389002_2020,4162982395.0178943,0.7313169059725364,1.4207264162637907,0.0,0.0523720643370717,inf,0.0,1651000.0,7935446017.817999,4.57341263382835,-21458.24058952063,-2145824.058952063,-2145824.058952063,-4291648.117904126,19680860.0,-1.2083964559559142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.12797377
1353499_2018,4162982395.0178943,0.7313169059725364,1.9279783712601888e-05,-0.0056292096621821,0.0035426170350174,-0.0355289662319077,-0.1848725294796773,329243984.2387387,7935446017.817999,4.57341263382835,-0.0,-0.0,-0.0,-0.0,431792.3378,-1.2083964559559142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.094646096
1353499_2019,4162982395.0178943,0.7313169059725364,2.609166263122583,0.0018438223861277,0.1575862225430802,0.1084703176969391,17.122986579191178,329243984.2387387,7935446017.817999,4.57341263382835,-1.9973479517574235,-199.73479517574236,-199.73479517574236,-399.4695903514847,1314770.5648,-1.2083964559559142,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15384615384615385,0.1538856
1540184_2020,4162982395.0178943,0.7313169059725364,1.663752387004822,-0.8487801579977974,0.3688383476912258,-33.24771406835035,-12.781918954807628,30259000.0,7935446017.817999,4.57341263382835,-0.0,-0.0,-0.0,-0.0,3734815464.44,-1.2083964559559142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.23076923076923078,0.23067933
1540184_2021,4162982395.0178943,0.7313169059725364,2.37293992763112,-0.9590968386056916,0.3406699667585836,-43.26987466701647,-13.079767081319169,32656000.0,7935446017.817999,4.57341263382835,0.3233511078667889,32.3351107866789,32.3351107866789,64.6702215733578,6432326488.5,-1.2083964559559142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3076923076923077,0.3075095
