cik_date,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label
1576169_2020,138753000,0.517462827,3.742494942,-0.751590622,0.143396244,-19.26580717,-5.684426258,126420000,,,0,0,0,0,468101316.7,-0.187784029,0,0,0,0,0,0,0,1,0,1,,0,0
1576169_2021,140384000,0.533582671,1.552633036,-0.9613113,0.167261748,-23.9256524,-7.448005668,117003000,,,0.323867144,32.38671441,32.38671441,64.77342882,769592535,-0.248601107,1,0,0,0,0,0,1,1,1,1,,0,0
1031308_2020,,,0.730865311,0.464886666,0.628183556,87.139518,17.07175559,317305000,,,0,0,0,0,11024978957,,0,0,1,1,1,0,0,,0,1,,1,
1031308_2021,,,1.036972489,0.329851988,0.63325958,146.5202628,9.937247082,311128000,,,-0.263426625,-26.34266248,-26.34266248,-52.68532497,13654516329,,0,0,1,1,0,0,0,,0,1,,1,
1626450_2021,,,7.236757893,-1.060378089,0.118838688,-33.35602684,-14.50732206,-27464000,,,0,0,0,0,2557640070,,0,0,0,0,0,0,0,,0,1,,1,
1786352_2020,118456000,0.751624365,1.419001853,-0.104464118,1.956547155,-863.5501082,-0.97066195,4946000,,,0,0,0,0,7183873350,-0.212522992,0,0,0,0,0,0,0,1,0,1,,1,0
1786352_2021,176459000,0.740599752,1.550544168,-1.21E-07,0.837424991,-1518530063,-4.10E-07,-52161000,,,-0.99999863,-99.99986296,-99.99986296,-199.9997259,17311242720,-2.91E-07,1,0,1,0,0,0,0,1,0,1,,1,0
1280058_2019,481999000,0.535302852,0.742831225,,2.1599571,,2.60111314,445569000,,,0,0,0,0,,0.028459171,0,,0,,0,0,0,1,0,1,,,0
1280058_2020,485154000,0.531257015,0.808226532,,1.859583128,,1.416059439,465308000,,,-0.35194827,-35.19482701,-35.19482701,-70.38965401,,0.018443015,0,,0,,0,0,0,1,0,1,,,0
1280058_2021,484545000,0.522285339,0.76689479,,1.145217338,,0.588073198,468101000,,,-0.261630167,-26.16301672,-26.16301672,-52.32603343,,0.013311063,0,,1,,0,0,0,1,0,1,,,0
1666134_2019,230001000,0.795917308,3.494765625,-0.032772527,0.368797826,-1573.268986,-0.326577881,,,,0,0,0,0,2883802051,-0.031080967,0,0,0,0,0,0,0,1,0,1,,1,0
1666134_2020,282765000,0.803910308,2.781805802,-0.15356579,0.389117617,-868.5528222,-1.42235953,,,,3.832515003,383.2515003,383.2515003,766.5030005,7693640899,-0.150199237,0,0,0,0,0,1,1,1,1,0,,1,0
1666134_2021,327835000,0.770097203,4.17788001,-0.255610621,0.51539505,-405.0692402,-2.408916683,,,,0.702077218,70.20772183,70.20772183,140.4154437,6107228934,-0.218595952,0,0,1,0,0,1,1,1,1,1,,1,0
1073349_2019,293844000,0.696375503,1.642405088,0.228294808,0.179814482,193.7845208,1.307388854,183944000,,,0,0,0,0,1827775600,0.073619632,1,0,0,1,0,0,0,1,0,1,,0,0
1073349_2020,305804000,0.691518494,2.064314191,-0.071208385,0.196099913,-712.9778355,-0.39259726,185654000,,,-1.318384224,-131.8384224,-131.8384224,-263.6768448,2141072440,-0.023439329,0,0,0,0,0,0,0,1,0,1,,1,0
1073349_2021,318095000,0.674783572,1.678439449,-0.376714388,0.190223971,-98.43000737,-1.987815356,188904000,,,4.423909424,442.3909424,442.3909424,884.7818848,1603227960,-0.119398609,1,0,0,0,0,1,1,1,1,0,,0,0
1378590_2021,8726000,0.658119014,1.249910018,-0.656612933,0.083177822,-6.259395437,-6.675182372,3350000,,,0,0,0,0,41869096.08,-1.475623208,0,0,0,0,0,0,0,1,0,1,,0,0
1054721_2021,5415000,0.134144227,6.417467496,-0.038283325,0.041044798,-44.666967,-0.452444068,31060000,,,0,0,0,0,34840234.26,-0.02231632,0,0,0,0,0,0,0,0,0,1,,0,0
813672_2019,2147173000,0.919041021,1.739081873,3.533897911,0.319745551,19.62705255,47.02942707,,,,0,0,0,0,19410742800,5.228654056,1,1,0,1,1,0,0,1,0,1,,1,1
813672_2021,2451865000,0.913889159,1.855637745,2.117451361,0.319615823,61.57874623,23.69192681,,,,0,0,0,0,36371116990,2.556612676,1,1,0,1,1,0,0,1,0,1,,1,1
813672_2022,2765597000,0.925492363,1.766603001,2.514324629,0.318822449,60.50929074,22.84600143,,,,0.178298603,17.82986029,17.82986029,35.65972058,42111743440,3.012453144,1,1,0,1,1,0,0,1,0,1,,1,1
1609702_2019,,,1.178064208,1.06E-06,-1.1484375,46665502.73,-17.58497807,,5987185618,,0,0,0,0,5987184000,,0,0,0,1,0,0,0,,0,1,,1,
1609702_2020,,,1.301442673,1.71345995,-0.883744338,24.17331084,-34.80959571,,6859.262,,0.617303196,61.73031956,61.73031956,123.4606391,5015.962,,0,1,0,1,0,1,1,,1,1,,0,
1609702_2021,,,1.526744502,8.512757202,0.766014975,5.837121725,215.1206323,,7947.635,,3.984578313,398.4578313,398.4578313,796.9156627,6037.335,,1,1,1,0,1,1,1,,1,0,,0,
1768267_2021,286108000,0.738949641,1.736432983,1.206916502,0.160191677,29.10723313,4.447233137,161668000,,,0,0,0,0,1335818250,0.454053466,1,1,0,1,0,0,0,1,0,1,,0,0
1725057_2020,,,1.066953078,-2.69E-08,1.482409361,-3957942416,-0.153462498,,15831772742,,0,0,0,0,15831769663,,0,0,1,0,0,0,0,,0,1,,1,
1169652_2020,114718000,0.790765964,2.560189706,0.648681081,0.148918786,24.63460162,6.517403979,49438000,,,0,0,0,0,463746375.5,0.620181854,0,0,0,1,0,0,0,1,0,1,,0,0
1169652_2021,129497000,0.772060884,2.965789581,1.56400124,0.162439551,15.78003864,15.69256336,57160000,,,1.50810093,150.810093,150.810093,301.6201859,745054524.6,1.555478685,0,1,0,1,1,1,1,1,1,0,,0,1
1022505_2021,,,4.196875513,-0.037433783,0.019466928,-5.04891525,-4.061944821,-3295335,,,0,0,0,0,15673261.78,,0,0,0,0,0,0,0,,0,1,,0,
877890_2019,2700309000,0.896944559,0.827268268,2.138954072,0.292617696,51.84777058,10.91064023,1000165000,,,0,0,0,0,35350484000,2.19758908,0,1,0,1,0,0,0,1,0,1,,1,1
877890_2020,2847088000,0.87962678,0.925051581,1.566777652,0.325729591,83.03667072,7.633847244,1107354000,,,-0.260140244,-26.01402437,-26.01402437,-52.02804875,41887516400,1.625907721,0,1,0,1,0,0,0,1,0,1,,1,1
877890_2021,2763415000,0.858958339,0.730217993,0.945644486,0.334310245,100.0270201,4.366905931,861697000,,,-0.390422364,-39.04223643,-39.04223643,-78.08447287,30758208660,0.789244171,0,0,0,1,0,0,0,1,0,1,,1,0
827876_2020,,,1.53308194,-1.338195969,0.040528092,-0.881784153,-17.52320442,,,,0,0,0,0,20521355.22,-3.079162088,1,0,0,0,0,0,0,,0,1,,0,0
827876_2021,,,4.846871419,0.386383069,0.026819842,61.82983136,3.253766924,,,,-1.620867393,-162.0867393,-162.0867393,-324.1734786,893389126.1,1.911751339,0,0,0,1,0,0,0,,0,1,,0,1
1393548_2021,,,5.217391304,-0.000551107,0.014311394,-156.0496828,-1.064712389,,,,0,0,0,0,24031651.14,,0,0,0,0,0,0,0,,0,1,,0,
1535379_2020,561689000,0.707246745,1.220628401,-0.217798176,0.198347074,-47.2455747,-2.198669245,-107252000,,,0,0,0,0,3037276261,-0.276500847,0,0,0,0,0,0,0,1,0,1,,1,0
1535379_2021,680070000,0.782356907,1.504912465,-0.558799496,0.238812759,-27.32643838,-5.860719058,32923000,,,1.53136715,153.136715,153.136715,306.2734301,4446940623,-0.699925162,1,0,0,0,0,1,1,1,1,0,,1,0
1477333_2019,,,8.224217064,-0.08568223,0.081663469,-199.1077972,-1.777586964,-44523000,,,0,0,0,0,3635509270,,0,0,0,0,0,0,0,,0,1,,1,
1477333_2020,,,7.99248817,-0.194124943,0.114290865,-391.4489233,-3.913926756,-5713000,,,1.651569089,165.1569089,165.1569089,330.3138178,18951999620,,0,0,0,0,0,1,1,,1,0,,1,
1477333_2021,,,6.777869804,-0.145368517,0.193083093,-904.5975229,-2.701216183,19450000,,,-0.16616751,-16.61675101,-16.61675101,-33.23350201,36518602000,,0,0,0,0,0,0,0,,0,1,,1,
1169561_2020,553807000,0.82548723,1.563475106,0.194192693,0.33571857,208.4527454,0.912983991,99570000,,,0,0,0,0,1862525280,0.076316644,1,0,0,1,0,0,0,1,0,1,,0,0
1169561_2021,614099000,0.848822069,1.628072733,-0.665935201,0.348886365,-96.8562706,-2.893722042,87110000,,,-4.464353665,-446.4353665,-446.4353665,-892.8707331,2998089000,-0.264387844,1,0,0,0,0,0,0,1,0,1,,1,0
1401680_2019,427308000,0.741181184,1.392739679,0.154526688,0.643971074,378.8989504,1.381538763,161148000,,,0,0,0,0,3573774900,0.063210803,0,0,1,1,0,0,0,1,0,1,,1,0
1401680_2020,513902000,0.693603593,0.754617507,-0.615806547,0.71571451,-71.51596582,-4.787867829,195463000,,,-5.238973707,-523.8973707,-523.8973707,-1047.794741,2859351345,-0.267948933,0,0,1,0,0,0,0,1,0,1,,1,0
1385867_2020,250503000,0.642778515,1.819477728,,0.646158984,,,65791000,,,,,,,10398843516,,1,,1,,,,,1,,,,1,
1385867_2021,319942000,0.590687962,0.804753054,,0.681823408,,,55148000,,,,,,,22544176314,,0,,1,,,,,1,,,,1,
1385867_2022,412053000,0.5681225,1.790359678,-0.132333888,0.318720065,-1014.630511,-0.558397607,69152000,,,,,,,10078324864,-0.044803587,1,0,0,0,0,,,1,,,,1,0
1535527_2020,,,2.376080925,-0.203397544,0.664454048,-300.3477757,-2.950922172,,,,0,0,0,0,6577315940,-0.154624471,0,0,1,0,0,0,0,,0,1,,1,0
1535527_2021,,,2.654468226,-0.109737027,0.991935206,-1966.519469,-2.458492902,,,,-0.022649436,-2.264943605,-2.264943605,-4.529887209,42089416200,-0.151122314,0,0,1,0,0,0,0,,0,1,,1,0
1535527_2022,,,1.8274788,-1.11812606,1.371494808,-161.5560235,-22.89045043,,,,9.970518152,997.0518152,997.0518152,1994.10363,37933677440,-1.022901828,1,0,1,0,0,1,1,,1,0,,1,0
1561550_2021,794539000,0.772308862,3.538797343,-0.078776611,0.441634033,-2260.950276,-1.732885821,215089000,,,0,0,0,0,46903413484,-0.088561122,0,0,0,0,0,0,0,1,0,1,,1,0
1724570_2020,368581000,0.710469655,3.199045171,0.139375528,0.040331273,193.7212389,1.281636448,211172000,,,0,0,0,0,4358340432,0.149782962,0,0,0,1,0,0,0,1,0,1,,1,0
1724570_2021,442309000,0.714950287,3.447678687,0.313637861,0.049130116,84.01409174,2.810667136,238552000,,,1.28615877,128.615877,128.615877,257.2317539,4321180794,0.342427632,0,0,0,1,0,1,1,1,1,0,,1,0
317788_2021,134930000,0.430290294,0.876166227,0.610162239,0.297739144,131.7026766,14.7019903,,,,0,0,0,0,7228369705,0.307216945,0,0,0,1,0,0,0,0,0,1,,1,0
1261333_2019,508548000,0.725492853,1.906829772,-2.518903977,0.334164138,-19.63155422,-27.60088746,-233902000,,,0,0,0,0,8372033350,-2.21627577,1,0,0,0,0,0,0,1,0,1,,1,0
1261333_2020,730737000,0.750265665,1.360140641,-1.149541527,0.41180785,-68.29679323,-12.36429387,49725000,,,-0.511419647,-51.14196474,-51.14196474,-102.2839295,14230251540,-1.082828797,0,0,0,0,0,0,0,1,0,1,,1,0
1261333_2021,1088989000,0.749452014,1.063279097,-1.26171249,0.642191471,-184.5824638,-14.29087551,190203000,,,0.167537759,16.75377593,16.75377593,33.50755187,44902822230,-1.000135672,0,0,1,0,0,0,0,1,0,1,,1,0
1505952_2021,153432000,0.730002855,0.888415572,-0.345636377,0.179114572,-183.4008344,-0.908087236,-16337000,,,0,0,0,0,1728736265,-0.16610277,0,0,0,0,0,0,0,1,0,1,,0,0
1467623_2020,1499.3,0.783374262,1.128424343,-0.228979212,0.424209336,-96.90836043,-2.877978396,137.6,,,0,0,0,0,7151.837,-0.178002894,0,0,0,0,0,0,0,1,0,1,,0,0
1467623_2021,1713.7,0.794151722,1.573226739,1.147249744,0.480290838,21.39028588,13.71675994,718.6,,,-5.550135501,-555.0135501,-555.0135501,-1110.0271,7182.858,0.809937289,1,1,0,1,0,0,0,1,0,1,,0,0
1160951_2021,150264000,0.577161513,5.145922698,-0.002704539,0.119955442,-17241.38594,-0.048854719,94720000,,,0,0,0,0,6155174782,-0.003242919,0,0,0,0,0,0,0,1,0,1,,1,0
1773383_2020,416872000,0.763777407,0.961188382,-1.488408315,0.310738826,-16.0171102,-26.56909124,-43008000,,,0,0,0,0,6695536474,-3.24223034,0,0,0,0,0,0,0,1,0,1,,1,0
1773383_2021,575801000,0.818469984,1.049962109,0.267417569,0.391882917,180.3920369,4.579490579,219604000,,,-1.181123572,-118.1123572,-118.1123572,-236.2247144,13658202681,0.58724434,0,0,0,1,0,0,0,1,0,1,,1,0
